"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/strata_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/strata.csv?datainfo&rowcount&base_name=squamata"
"Access Time","Mon 2017-03-13 02:55:23 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","squamata"
"","timerule","major"
"Elapsed Time","0.278"
"Records Found","718"
"Records Returned","718"
"Records:"
"record_type","group","formation","member","lithology","max_ma","min_ma","cc_list","n_colls","n_occs"
"str","","","","sandstone,phosphorite,peat,phosphorite/""limestone"",""siliciclastic"",""shale"",claystone,lignite,""limestone"",conglomerate,marl,sandstone/gravel,mudstone/""limestone"",mudstone,breccia/""limestone"",claystone/sandstone,siltstone,""siliciclastic""/""limestone"",""carbonate"",claystone/phosphorite,claystone/marl,siltstone/""limestone"",siltstone/marl,mudstone/wackestone,wackestone,conglomerate/""limestone"",""shale""/tuff,amber,not reported/""limestone"",breccia,gravel,siltstone/sandstone,""shale""/chert,siltstone/conglomerate,phosphorite/claystone,sandstone/claystone,claystone/""carbonate"",claystone/lignite,schist,sandstone/marl,mudstone/sandstone,""limestone""/""mixed carbonate-siliciclastic"",claystone/breccia,not reported/breccia,tar,mudstone/siltstone,tuff,marl/conglomerate,""limestone""/claystone,marl/phosphorite,""reef rocks"",""mixed carbonate-siliciclastic"",phosphorite/marl,chalk,sandstone/mudstone,sandstone/amber,sandstone/dolomite,sandstone/lignite,sandstone/conglomerate,travertine,marl/mudstone,mudstone/phosphorite,conglomerate/marl,","0.0117","0","HU,TH,FR,KY,US,SY,AU,DE,LY,ZM,MN,AT,IT,ZA,UK,MA,UA,HR,AO,AG,PL,PT,RU,GE,SI,ES,IN,TR,AZ,CZ,MG,LB,NA,SE,BR,TD,RO,GR,BS,ID,CH,MX,SK,MD,BA,MM,UZ,AM,NE,VE,CA,AR,CO,EC,KE,CN,DZ,PR,EG,JO,BE,ML,SD,AF,DO,ET,UG,TZ,NZ","774","2945"
"str","","","2","claystone/marl","150.8","145","FR","1","1"
"str","","","Brown Bed","""shale""","83.5","70.6","CA","4","4"
"str","","","Unit Matupi I","","0.0117","0","CD","1","1"
"str","","","Unit Matupi II","","2.588","0","CD","1","1"
"str","","""Couche III""","","phosphorite","70.6","66","MA","1","2"
"str","","""Crooked Creek""","Pearlette Ash O","","1.8","0.3","US","1","3"
"str","","""Fort Union"" (= Lebo)","""Upper Lebo"" Beds","","63.3","61.7","US","1","2"
"str","","""Oreodon Beds""","","","33.9","33.3","US","1","1"
"str","","""Sheep Pass""","","""limestone""","50.3","46.2","US","1","2"
"str","","""unnamed sandstone""","","","1.8","0.3","US","8","15"
"str","","""Wasatch""","","","55.8","50.3","US","1","1"
"str","","Adaffa","","sandstone","83.5","66","SA","1","3"
"str","","Agenais Limestone","","marl/""limestone""","22.4","20","FR","1","1"
"str","","Agha Jari","","conglomerate","11.608","8.7","IQ","1","1"
"str","","Agua Nueva","Vallecillo Platy Limestone","""limestone""","93.5","89.3","MX","1","1"
"str","","Aguja","Upper Shale","conglomerate,conglomerate/sandstone,sandstone/mudstone","83.5","70.6","US","5","23"
"str","","Ahlen","Beckum","marl","83.5","70.6","DE","1","1"
"str","","Ajka Coal","","marl/sandstone","86.3","83.6","HU","1","1"
"str","","Akli","","claystone/lignite","58.7","48.6","IN","1","1"
"str","","Akrabou","","""limestone""","93.5","89.3","MA","1","1"
"str","","Akzhar","","""siliciclastic""","23.03","15.97","","1","1"
"str","","Alachua","","sandstone/claystone","13.6","10.3","US","2","19"
"str","","Alai Beds","","","56","47.8","KG","1","6"
"str","","Alamosa","","sandstone","0.781","0.126","US","13","29"
"str","","Alcobaça","","coal","157.3","152.1","PT","1","6"
"str","","Aldabra Limestone","","""limestone""","2.588","0","SC","1","1"
"str","","Allingham","","""siliciclastic""","5.333","3.6","AU","4","4"
"str","","Anoual","Lower Anoual","marl","168.3","166.1","MA","1","4"
"str","","Aoufous","","claystone,mudstone/siltstone","99.6","93.5","MA","3","6"
"str","","Arcadia Park Shale","","""shale""","93.5","89.3","US","1","1"
"str","","Arcillas de Morella","","claystone","125.45","122.46","ES","2","2"
"str","","Argiles d'lignite du Soissonnais","","sandstone","56","47.8","FR","1","12"
"str","","Argille di Viano","","packstone","99.6","66","IT","1","1"
"str","","Arroyo Chasicó","","","11.608","5.333","AR","1","1"
"str","","Artoles","","sandstone/conglomerate","130","122.46","ES","1","1"
"str","","Ash Hollow","","","10.3","4.9","US","1","17"
"str","","Ash Hollow","Merritt Dam","""siliciclastic""","13.6","10.3","US","1","22"
"str","","Ashawq","Shizar","marl","33.9","28.4","OM","1","2"
"str","","Ashville","Belle Fourche","mudstone","99.6","93.5","CA","1","2"
"str","","Austin Chalk","","chalk","89.8","83.6","US","1","1"
"str","","B3/C1","","marl","100.5","93.9","FR","1","1"
"str","","Baculites Limestone","","""limestone""","70.6","66","FR","2","2"
"str","","Baharîje","","wackestone","100.5","93.9","EG","1","1"
"str","","Balabansai","","claystone,sandstone/siltstone","166.1","163.5","KG","3","3"
"str","","Ballard","Missler","","4.9","1.8","US","2","3"
"str","","Barton Beds","Lower","claystone","37.2","33.9","UK","1","1"
"str","","Barun Goyot","","sandstone,sandstone/conglomerate,sandstone/mudstone","83.5","66","MN","17","80"
"str","","Bashi","","","55.8","48.6","US","1","2"
"str","","Bearpaw Shale","","""shale""/""carbonate"",""shale""","83.5","66","CA","5","6"
"str","","Bearpaw Shale","Manyberries","mudstone","83.5","70.6","CA","1","1"
"str","","Bereza Beds","","","72.1","66","RU","1","2"
"str","","Bermont","","sandstone/siltstone","1.8","0.3","US","2","16"
"str","","Bet Meir/Amminadav","","""limestone""","99.6","93.5","PS","1","7"
"str","","Bidahochi","","","10.3","4.9","US","1","6"
"str","","Birket Qarun","Umm Rigl","sandstone","38","33.9","EG","1","9"
"str","","Bissekty","","sandstone/conglomerate","89.8","86.3","UZ","4","7"
"str","","Black Creek","","","83.6","72.1","US","1","3"
"str","","Blesa","Cabezo Gordo","claystone","136.4","125.45","ES","1","1"
"str","","Blufftown","","claystone/sandstone","83.6","72.1","US","1","4"
"str","","Boquillas","Ernst","""limestone""","93.5","89.3","US","1","3"
"str","","Boquillas","San Vicente","""limestone""","89.3","85.8","US","1","3"
"str","","Borgloon","Boutersem","sandstone","33.9","28.4","BE","1","7"
"str","","Bostobe","","claystone","83.5","70.6","","1","1"
"str","","Bridger","","mudstone/sandstone,""siliciclastic""/sandstone","48.6","37.2","US","14","43"
"str","","Bridger","Black's Fork","","50.3","46.2","US","2","3"
"str","","Bridger","lower","","50.3","46.2","US","6","21"
"str","","Bridger","upper","","50.3","46.2","US","6","12"
"str","","Brochero","","","3.6","2.588","AR","1","2"
"str","","Brownstown","","","85.8","83.5","US","1","1"
"str","","Brule","","","33.9","33.3","US","3","4"
"str","","Brule","Cedar Creek","","33.9","33.3","US","4","4"
"str","","Brule","lower Orella","","33.9","33.3","US","3","4"
"str","","Brule","Orella","","33.9","33.3","US","4","4"
"str","","Brule","Scenic","","33.9","33.3","US","7","8"
"str","","Brule","Whitney","","33.3","30.8","US","1","1"
"str","","Brussel","","sandstone","47.8","41.3","BE","1","1"
"str","","Brussels","","sandstone","47.8","41.3","BE","4","4"
"str","","Brussles","B","sandstone","47.8","41.3","BE","1","1"
"str","","Bukhara","","sandstone","56","47.8","TJ","1","1"
"str","","Bullion Creek (Tongue River)","","""shale""","61.7","56.8","US","1","2"
"str","","C1","","sandstone","3.6","2.588","MA","1","1"
"str","","Cabaços","","marl","163.5","157.3","PT","1","1"
"str","","Calcaire de Saint-Ouen","","""limestone""","41.3","38","FR","1","13"
"str","","Calcaires de Vacheres","","marl/lignite","33.9","28.4","FR","1","1"
"str","","Camarillas","","claystone,mudstone/sandstone","130","125.45","ES","3","6"
"str","","Cambay Shale","","siltstone/claystone,sandstone","56","47.8","IN","3","23"
"str","","Camfield Beds","","""limestone""","15.97","11.608","AU","2","3"
"str","","Carl Creek Limestone","","""limestone"",""carbonate""","28.4","23.03","AU","3","4"
"str","","Carlile Shale","Fairport Chalk","chalk","93.5","89.3","US","1","1"
"str","","Castilletes","","mudstone","23.03","15.97","CO","1","1"
"str","","Castrillo de la Reina","","claystone/sandstone","130","122.46","ES","1","1"
"str","","Cedar Mountain","Mussentuchit","","105.3","93.5","US","1","3"
"str","","Cerrejón","","claystone/sandstone","61.7","58.7","CO","1","1"
"str","","Chadron","","","37.2","33.9","US","14","15"
"str","","Chadron","Ahearn","","37.2","33.9","US","1","1"
"str","","Chadron","Big Cottonwood Creek","siltstone","37.2","33.9","US","4","7"
"str","","Chadron","Chalky Buttes","sandstone","37.2","33.9","US","1","27"
"str","","Chadron","Peanut Peak","","37.2","33.9","US","1","2"
"str","","Chadron","upper","","37.2","33.9","US","1","1"
"str","","Chambi","","""limestone""","56","41.3","TN","1","1"
"str","","Chambira","base","","28.4","23.03","PE","2","4"
"str","","Chico","","""siliciclastic""","83.6","72.1","US","1","1"
"str","","Chitarwata","","sandstone","23.03","15.97","PK","3","4"
"str","","Cibao","","","20.44","15.97","PR","1","2"
"str","","Cloverly","Himes","mudstone/claystone","113","100.5","US","4","5"
"str","","Cloverly","Little Sheep Mudstone","claystone","125","100.5","US","2","10"
"str","","Colimapu","","","113","100.5","CL","1","1"
"str","","Collegats","Sossís","claystone/sandstone","38","33.9","ES","1","20"
"str","","Collon Cura","","","15.97","11.608","AR","2","3"
"str","","Conglomérat de Cernay","","","59.2","56","FR","1","5"
"str","","Continental Intercalaire","","claystone","145","93.5","DZ","1","1"
"str","","Conway","","sandstone","83.6","66","NZ","1","2"
"str","","Conway Siltstone","","siltstone","85.8","83.5","NZ","1","2"
"str","","Córcoles","","""siliciclastic""","16.9","15.97","ES","1","18"
"str","","Craie de Ciply","","sandstone","70.6","66","BE","1","6"
"str","","Craie de Meudon","","wackestone","83.5","70.6","FR","1","1"
"str","","Craie de Spiennes","","lime mudstone","83.5","70.6","BE","1","3"
"str","","Creechbarrow Limestone","","marl","41.3","38","UK","1","1"
"str","","Cromer Forest Bed","Freshwater Bed","","0.781","0.126","UK","1","4"
"str","","Crooked Creek","","","1.8","0.3","US","1","8"
"str","","Crooked Creek","Atwater","","4.9","1.8","US","1","10"
"str","","Crystal River","","""limestone""","37.2","33.9","US","1","1"
"str","","Csehbánya","","claystone/sandstone","86.3","83.6","HU","1","7"
"str","","Cypress Hills","","","33.9","33.3","CA","4","13"
"str","","Dakota","","mudstone/sandstone","99.6","93.5","US","3","19"
"str","","Dam","","","23.03","15.97","SA","5","13"
"str","","Danish White Chalk","","""limestone""","70.6","66","DK","4","6"
"str","","Davutlar","","""limestone""","70.6","66","TR","1","1"
"str","","Delaho","Lower","","24.8","20.43","US","1","1"
"str","","Demopolis","","marl","83.6","72.1","US","1","1"
"str","","Densus-Ciula","","claystone/marl","72.1","66","RO","1","1"
"str","","Densus-Ciula","Middle","mudstone/sandstone,mudstone","70.6","66","RO","2","4"
"str","","Denver","","""shale""/sandstone","66","63.3","US","1","6"
"str","","Devil's Graveyard","Middle","","46.2","40.4","US","1","4"
"str","","Djadokhta","","sandstone/mudstone,sandstone","83.5","66","CN,MN","22","71"
"str","","Djadokhta","Bayn Dzak","sandstone","83.5","70.6","MN","3","5"
"str","","Djadokhta","Tugrugyin","sandstone","83.5","70.6","MN","3","11"
"str","","Djaskoian","","sandstone","163.5","130","RU","1","1"
"str","","Doumu","Lower","","61.7","58.7","CN","1","1"
"str","","Doumu","Upper","","61.7","58.7","CN","2","3"
"str","","Dukamaje","","siltstone,""siliciclastic""","72.1","66","NE","2","9"
"str","","Dukamaje","Gypsiferous shale","""shale""","72.1","66","NG","1","1"
"str","","Dushihin","","claystone","125","113","MN","1","1"
"str","","Duwi","","phosphorite","72.1","66","EG","3","5"
"str","","Dzunbain","","sandstone","125","100.5","MN","1","9"
"str","","Eagle Ford","","""shale""","93.9","86.3","US","1","1"
"str","","Edelény","","marl/claystone","11.1","9.7","HU","1","9"
"str","","El Castellar","","marl/""siliciclastic"",""carbonate""","130","125.45","ES","4","4"
"str","","El Gallo","","","83.5","70.6","MX","1","1"
"str","","El Mamey","","""shale""/amber","20.44","13.82","DO","1","2"
"str","","El Molino","","sandstone","72.1","66","BO","1","1"
"str","","Elisabeth Bay","","siltstone/sandstone,""siliciclastic"",sandstone/siltstone,claystone/siltstone","23.03","15.97","NA","4","25"
"str","","Ensenada","","","0.781","0.126","AR","1","1"
"str","","Ergilin Dzo","Ergilin","sandstone,gravel","33.9","28.4","MN","2","2"
"str","","Estratos de Quebrada Municipalidad","","sandstone/conglomerate","70.6","66","CL","1","1"
"str","","Etadunna","Lower","siltstone/claystone","28.4","23.03","AU","1","1"
"str","","Eureka Sound","4","","55.8","46.2","CA","1","1"
"str","","Eutaw","lower","marl","83.5","70.6","US","1","1"
"str","","Eutaw","Tombigbee Sand","sandstone","85.8","70.6","US","3","3"
"str","","Farin-Doutchi","","","72.1","66","NE","1","1"
"str","","Ferris","","mudstone","66","63.3","US","7","9"
"str","","Fleming","","","15.97","5.333","US","5","20"
"str","","Fleming","upper Carnahan Bayou","conglomerate","23.03","20.44","US","1","3"
