Species	Status	min_age	max_age
Cheilophis_huerfanoensis	extinct	56	59.2
Palaeophis_littoralis	extinct	56	59.2
Prognathodon	extinct	70.6	83.5
Haasiasaurus_gittelmani	extinct	93.5	99.6
Pachyrhachis_problematicus	extinct	93.5	99.6
Ophidia	extinct	93.5	99.6
Mosasauroidea	extinct	93.5	99.6
Geiseltaliellus_lamandini	extinct	38	41.3
Pseudolacerta_mucronata	extinct	38	41.3
Pseudolacerta_mucronata	extinct	33.9	38
Pseudolacerta	extinct	38	41.3
Pseudolacerta	extinct	33.9	38
Pseudolacerta_mucronata	extinct	33.9	38
Pseudolacerta_mucronata	extinct	33.9	38
Pseudolacerta	extinct	33.9	38
Pseudolacerta_mucronata	extinct	33.9	37.2
Geiseltaliellus_lamandini	extinct	33.9	37.2
Pseudolacerta	extinct	33.9	37.2
Pseudolacerta_mucronata	extinct	33.9	37.2
Geiseltaliellus_lamandini	extinct	33.9	37.2
Pseudolacerta_mucronata	extinct	33.9	37.2
Pseudolacerta_mucronata	extinct	38	41.3
Geiseltaliellus_lamandini	extinct	33.9	38
Geiseltaliellus_lamandini	extinct	33.9	38
Geiseltaliellus_lamandini	extinct	33.9	37.2
Pseudolacerta	extinct	33.9	37.2
Geiseltaliellus_lamandini	extinct	33.9	37.2
Geiseltaliellus_lamandini	extinct	33.9	38
Pseudolacerta	extinct	33.9	38
Pseudolacerta	extinct	33.9	38
Madtsoiidae	extinct	66	72.1
Dryinoides_oxyrhachis	extinct	13.6	15.97
Mosasauridae	extinct	66	70.6
Peneteius_aquilonius	extinct	66	72.1
Chamops_segnis	extinct	66	72.1
Leptochamops_denticulatus	extinct	66	72.1
Haptosphenus_placodon	extinct	66	72.1
Contogenys_sloani	extinct	66	72.1
Exostinus_lancensis	extinct	66	72.1
Odaxosaurus_piger	extinct	66	72.1
Parasaniwa_wyomingensis	extinct	66	72.1
Paraderma_bogerti	extinct	66	72.1
Varanidae	extinct	66	72.1
Colpodontosaurus_cracens	extinct	66	72.1
Coniophis_precedens	extinct	66	72.1
Boidae	extinct	66	72.1
Palaeophis_virginianus	extinct	56	59.2
Palaeophis_grandis	extinct	47.8	56
Palaeophis	extinct	47.8	56
Tallahattaophis_dunni	extinct	46.2	50.3
Palaeophis_virginianus	extinct	46.2	50.3
Mosasauridae	extinct	66	72.1
Gilmoreteius_chulsanensis	extinct	72.1	83.6
Gilmoreteius_gilmorei	extinct	72.1	83.6
Squamata	extinct	50.3	55.8
Glyptosaurus_sylvestris	extinct	46.2	50.3
Glyptosaurinae	extinct	46.2	50.3
Ophisaurus	extinct	0.3	1.8
Heterodon	extinct	0.3	1.8
Coluber_constrictor	extinct	0.3	1.8
Elaphe_vulpina	extinct	0.3	1.8
Pituophis_melanoleucus	extant	0.3	1.8
Nerodia_sipedon	extinct	0.3	1.8
Storeria	extinct	0.3	1.8
Thamnophis	extinct	0.3	1.8
Ophisaurus	extinct	0.3	1.8
Diadophis_punctatus	extinct	0.3	1.8
Coluber_constrictor	extinct	0.3	1.8
Lampropeltis_getulus	extant	0.3	1.8
Pituophis_melanoleucus	extant	0.3	1.8
Nerodia_sipedon	extinct	0.3	1.8
Regina	extinct	0.3	1.8
Storeria	extinct	0.3	1.8
Thamnophis	extinct	0.3	1.8
Crotalinae	extinct	0.3	1.8
Xestops	extinct	50.3	55.8
Glyptosaurinae	extinct	50.3	55.8
Saniwa_ensidens	extinct	50.3	55.8
Pythonidae	extinct	2.588	7.246
Varanidae	extinct	11.608	23.03
Viperidae	extinct	0	0.0117
Elapidae	extinct	0	0.0117
Varanus	extinct	0.0117	2.588
Varanus	extinct	0.0117	2.588
Varanidae	extinct	0.781	2.588
Ophidia	extinct	0	0.0117
Ophidia	extinct	0	2.588
Ophidia	extinct	0	2.588
Varanus_niloticus	extant	0	2.588
Squamata	extinct	3.6	5.333
Chamaeleonidae	extinct	3.6	5.333
Ophidia	extinct	3.6	5.333
Gekkonidae	extinct	3.6	5.333
Chamaeleonidae	extinct	3.6	5.333
Ophidia	extinct	3.6	5.333
Gekkonidae	extinct	3.6	5.333
Ophidia	extinct	2.588	23.03
Squamata	extinct	2.588	11.62
Pythonidae	extinct	2.588	11.62
Varanus	extinct	0.0117	2.588
Varanidae	extinct	5.333	7.246
Varanus_niloticus	extant	0.781	2.588
Python	extinct	0.781	1.806
Python	extinct	0.781	2.588
Boidae	extinct	1.806	2.588
Viperidae	extinct	1.806	2.588
Boidae	extinct	1.806	2.588
Elapidae	extinct	1.806	2.588
Python	extinct	1.806	2.588
Colubridae	extinct	1.806	2.588
Naja	extinct	1.806	2.588
Bitis	extinct	1.806	2.588
Python	extinct	0.781	2.588
Bitis	extinct	0.781	2.588
Varanidae	extinct	66	72.1
Mosasauridae	extinct	70.6	83.5
Squamata	extinct	70.6	83.5
Parviraptor	extinct	145	157.3
Dorsetisaurus	extinct	145	157.3
Anguimorpha	extinct	145	157.3
