Species	Status
Ablepharus	extinct
Aciprion_formosum	extinct
Aciprion_majus	extinct
Acrantophis	extinct
Acrochordus	extinct
Acrochordus_dehmi	extinct
Acrodonta	extinct
Acrodontopsis_robustus	extinct
Acteosaurus_tommasinii	extinct
Adamisaurus	extinct
Adamisaurus_magnidentatus	extinct
Adinophis_fisaka	extinct
Adriosaurus	extinct
Adriosaurus_microbrachis	extinct
Adriosaurus_skrbinensis	extinct
Adriosaurus_suessi	extinct
Aethesia_frangens	extinct
Afairiguana_avius	extinct
Agama	extinct
Agamidae	extinct
Agamimus_gracilis	extinct
Agkistrodon	extinct
Agkistrodon_piscivorous	extinct
Aigialosauridae	extinct
Aigialosaurus_bucchichi	extinct
Aigialosaurus_dalmaticus	extinct
Aiolosaurus_oriens	extinct
Alamitophis	extinct
Alamitophis_argentinus	extinct
Alamitophis_elongatus	extinct
Alamitophis_tingamarra	extinct
Albaneryx	extinct
Albaneryx_volynicus	extinct
Alethinophidia	extinct
Altanteius_facilis	extinct
Amblyolacerta	extinct
Amblyolacerta_dolnicensis	extinct
Ameiseophis_robinsoni	extinct
Ameiva	extinct
Ameiva_griswaldi	extant
Amphekepubis_johnsoni	extinct
Amphibolurus	extinct
Amphibolurus_barbatus	extinct
Amphisbaena_braestrupi	extinct
Amphisbaena_laurenti	extinct
Amphisbaenia	extinct
Amphisbaenidae	extinct
Anchaurosaurus_gilmorei	extinct
Angolasaurus	extinct
Angolasaurus_bocagei	extinct
Anguidae	extinct
Anguimorpha	extinct
Anguinae	extinct
Anguini	extinct
Anguioidea	extinct
Anguis	extinct
Anhuisaurus_huainanensis	extinct
Aniliidae	extinct
Anilioidea	extinct
Anilioides_minuatus	extinct
Anilioides_nebraskensis	extinct
Anniealexandria	extinct
Anniealexandria_gansi	extinct
Anniella	extinct
Anniellinae	extinct
Anolbanolis	extinct
Anolbanolis_banalis	extinct
Anolbanolis_geminus	extinct
Anolis	extinct
Anolis_carolinensis	extinct
Anolis_electrum	extinct
Anolis_leachii	extant
Anomalophis_bolcensis	extinct
Anqingosaurus	extinct
Aocnodromeus_corrugatus	extinct
Aphanizocnemus_libanensis	extinct
Apodosauriscus_minutus	extinct
Apodosauriscus_thermophilus	extinct
Aprisaurus_bidentatus	extinct
Apsgnathus_triptodon	extinct
Araeosaurus_gracilis	extinct
Arcanosaurus_ibericus	extinct
Archaeolacerta_bedriagae	extinct
Archaeophis_proavus	extinct
Archaerhineura_mephitis	extinct
Ardeosaurus_brevipes	extinct
Ardeosaurus_digitatellus	extinct
Aristelliger	extinct
Arizona_elegans	extant
Arizona_voorhiesi	extinct
Arpadosaurus_gazinorum	extinct
Arpadosaurus_sepulchralis	extinct
Arretosaurus_ornatus	extinct
Asagaolacerta_tricuspidens	extinct
Asprosaurus_bibongriensis	extinct
Atokasaurus_metarsiodon	extinct
Australophis_anilioides	extinct
Austrelaps_superbus	extinct
Autarchoglossa	extinct
Axonoscincus_sabatieri	extinct
Ayalasaurus_tenuis	extinct
Baabdasaurus_xenurus	extinct
Bahndwivici_ammoskius	extinct
Bainguis_parvus	extinct
Balnealacerta_silvestris	extinct
Barbatteius_vremiri	extinct
Barbaturex_morrisoni	extinct
Barungoia_vasta	extinct
Basiliscus	extinct
Bavaricordylus_molassicus	extinct
Bavarioboa	extinct
Bavarioboa_bachensis	extinct
Bavarioboa_crocheti	extinct
Bavarioboa_hermi	extinct
Bavarioboa_herrlingensis	extinct
Bavarioboa_minuta	extinct
Bavarioboa_ultima	extinct
