"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"40162","occ","","","3113","Cheilophis huerfanoensis","species","68090","Thanetian","","59.2","56","140"
"40164","occ","","","3113","Palaeophis littoralis","species","65240","Thanetian","","59.2","56","140"
"76211","occ","","","5607","Prognathodon","genus","36412","Early Campanian","","83.5","70.6","338"
"138846","occ","","","11804","Haasiasaurus gittelmani","species","83816","Early Cenomanian","Middle Cenomanian","99.6","93.5","4203"
"138847","occ","","","11804","Pachyrhachis problematicus","species","65330","Early Cenomanian","Middle Cenomanian","99.6","93.5","13146"
"138853","occ","","","11804","Ophidia","suborder","54232","Early Cenomanian","Middle Cenomanian","99.6","93.5","4203"
"138854","occ","","","11804","Mosasauroidea","superfamily","53220","Early Cenomanian","Middle Cenomanian","99.6","93.5","4203"
"146045","occ","","","12840","Geiseltaliellus lamandini","species","58734","Bartonian","","41.3","38","4283"
"146046","occ","","","12840","Pseudolacerta mucronata","species","58735","Bartonian","","41.3","38","4283"
"146047","occ","","","12841","Pseudolacerta mucronata","species","58735","Priabonian","","38","33.9","4283"
"146048","occ","","","12840","Pseudolacerta","genus","37967","Bartonian","","41.3","38","4283"
"146049","occ","","","12841","Pseudolacerta","genus","37967","Priabonian","","38","33.9","4283"
"146050","occ","","","12842","Pseudolacerta mucronata","species","58735","Priabonian","","38","33.9","4283"
"146051","occ","","","12843","Pseudolacerta mucronata","species","58735","Priabonian","","38","33.9","4283"
"146052","occ","","","12843","Pseudolacerta","genus","37967","Priabonian","","38","33.9","4283"
"146053","occ","","","12844","Pseudolacerta mucronata","species","58735","MP 19","","37.2","33.9","4283"
"146054","occ","","","12844","Geiseltaliellus lamandini","species","58734","MP 19","","37.2","33.9","4283"
"146055","occ","","","12844","Pseudolacerta","genus","37967","MP 19","","37.2","33.9","4283"
"146056","occ","","","12845","Pseudolacerta mucronata","species","58735","MP 19","","37.2","33.9","4283"
"146057","occ","","","12845","Geiseltaliellus lamandini","species","58734","MP 19","","37.2","33.9","4283"
"146058","occ","","","12846","Pseudolacerta mucronata","species","58735","MP 19","","37.2","33.9","4283"
"146059","occ","","","12847","Pseudolacerta mucronata","species","58735","Bartonian","","41.3","38","4283"
"146060","occ","","","12848","Geiseltaliellus lamandini","species","58734","Priabonian","","38","33.9","4283"
"146061","occ","","","12849","Geiseltaliellus lamandini","species","58734","Priabonian","","38","33.9","4283"
"146062","occ","","","12850","Geiseltaliellus lamandini","species","58734","Late Eocene","","37.2","33.9","4283"
"146063","occ","","","12850","Pseudolacerta","genus","37967","Late Eocene","","37.2","33.9","4283"
