"collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"3113","col","Vincentown","-74.683334","39.971943","Vincentown Formation, NJ","","","2","Thanetian","","59.2","56","140"
"3534","col","Moodys Branch","-92.147224","32.234165","Montgomery Landing (Moodys Branch)","","","1","Bartonian","","41.3","38","124"
"4894","col","Mutsuo","135.331390","34.350555","Takinoike-pond","1396","NSM-PCL11-73-5; Loc. 4 in Matusomoto and Morozumi 1980","1","Early Maastrichtian","","70.6","66","303"
"5241","col","Chapelton","-77.916664","18.333332","Seven Rivers [Guys Hill Mbr, Chapelton Fm]","","","1","Lutetian","","47.8","41.3","314"
"5607","col","Mancos Shale","-107.925835","38.901669","Cedaredge","","","1","Early Campanian","","83.5","70.6","33033"
"6802","col","Yazoo","-90.286110","32.474167","Cynthia Pit","","Jackson Ready-Mix Concrete Company, Miss Lite Division quarry","1","Priabonian","","38","33.9","415"
"7515","col","Ripley","-88.606392","35.233612","Sohl 001","","Coon Creek type locality, former Dave weeks' place","3","Late Campanian","","83.5","70.6","463"
"11582","col","Barun Goyot","99.599998","43.299999","Khermeen Tsav, Red Beds [SMPE] (PIN coll. 3142)","","Khermin Tsav; Khermin-Tsab; Hermiin Tsav, Soviet-Mongolian Paleontological Expedition","9","Campanian","Maastrichtian","83.6","66","59136"
"11804","col","Bet Meir/Amminadav","35.258331","31.954166","'Ein Yabrud quarries","","Ein Jabrud","7","Early Cenomanian","Middle Cenomanian","99.6","93.5","36673"
"11919","col","Oldman","-111.529999","50.770000","near mouth of Sandhill Creek (NMC)","","Sand Creek, RTMP Quarry 252","1","Late Campanian","","83.5","70.6","4206"
"12816","col","Morrison","-106.002220","41.893055","Quarry 9, Como Bluff (YPM)","","Mammal Quarry, WY-15","3","Kimmeridgian","Tithonian","157.3","145","10624"
"12840","col","","1.733333","44.166668","Le Bretou","","Quercy Phosphorites","29","Bartonian","","41.3","38","7272"
"12841","col","","1.731667","44.349998","Les Pradigues","","","25","Priabonian","","38","33.9","7272"
"12842","col","","1.933333","44.583332","Sainte Néboule","","Ste Neboule, Sainte-Neboule, Ste-Neboule","15","Priabonian","","38","33.9","8621"
"12843","col","","1.733333","44.349998","Sindou D","","","22","Priabonian","","38","33.9","7272"
"12844","col","","1.566667","44.383331","Escamps B","","","5","MP 19","","37.2","33.9","12515"
"12845","col","","1.566667","44.383331","Escamps C","","","6","MP 19","","37.2","33.9","12515"
"12846","col","","1.566667","44.383331","Escamps X","","Escamps","16","MP 19","","37.2","33.9","12515"
"12847","col","Calcaire de Saint-Ouen","3.350000","49.133331","Grisolles","","","13","Bartonian","","41.3","38","12522"
"12848","col","","1.616667","44.266666","Aubrelong 2","","","7","Priabonian","","38","33.9","11573"
"12849","col","","1.731111","44.366669","Malperie","","","32","Priabonian","","38","33.9","12522"
"12850","col","","1.433333","44.383331","Perrière","","Perrière B; Perière","24","Late Eocene","","37.2","33.9","12522"
"12851","col","","1.731944","44.366669","Gousnat","","","7","MP 18","","37.2","33.9","12515"
"12852","col","","1.733333","44.366669","Coânac I","","","15","Priabonian","","38","33.9","8517"
"12853","col","","1.731667","44.349998","La Bouffie","","","13","Priabonian","","38","33.9","12522"
"12854","col","","1.733333","44.349998","Rosières 2","","","15","Priabonian","","38","33.9","12515"
